term,dv_cand_polz,iv_cand_pref_n,iv_cdv_diff_c1,iv_cdv_val_c2,iv_prox_sup,iv_prox_sup_alt,iv_triv,cov_pre_polz,cov_party3_n,party_strength,cov_pk,cov_edu_recode_n,cov_expect_n,cov_voted_n,cov_days,cand_change_dem,cand_change_gop,pref_switch,voted_early,demog_age
dv_cand_polz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_cand_pref_n,-0.1362275134074958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_cdv_diff_c1,-0.24983725561335585,-0.17529487014027056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_cdv_val_c2,0.020218246588493766,0.07157114233806612,-0.10883359572583357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_prox_sup,0.07366877105110468,-0.4173642198292167,0.00574348643742488,-0.02335396947636068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_prox_sup_alt,0.035466155342807094,-0.16901508656887046,0.11546625927793638,-0.08794934509713975,0.09245861372329324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
iv_triv,0.05036963215886889,-0.17460098151670084,0.2719271516252706,0.012654765553849683,0.0725696783460456,0.2129346359500975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cov_pre_polz,-0.3716719150960814,-0.16375067230297694,0.6777892186024346,-0.07419724939303252,-0.015996624335732575,0.16822961498380626,0.38412440909135737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cov_party3_n,-0.14117221358400098,0.7664398923690807,-0.06704364377520626,0.0714001324982799,-0.3781217126106774,-0.1360576468059244,-0.08578008362463568,-0.06664922529466157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
party_strength,-0.057262165431975376,-0.009404126159583812,0.1634174394673846,0.05851498611916125,-0.02803602677453155,0.05611663447678004,0.2236449298360783,0.34240362064959406,-0.0058114870404915465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cov_pk,0.0031195378125656605,-0.10593123055821581,0.09116569178320079,-0.06200700701381082,0.12482093325070918,0.14187493314115499,0.1638364621366591,0.1046339173744294,-0.047290073201194355,-0.0064290059580528235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cov_edu_recode_n,0.03165524966507231,-0.18985065507150958,0.080204432177643,-0.07898896057220756,0.14910179098987775,0.22727684151791558,0.11840670113642571,0.035482599714459495,-0.10737992677065239,-0.03886352943262948,0.29328070500779024,NA,NA,NA,NA,NA,NA,NA,NA,NA
cov_expect_n,-0.12527209813617152,0.7580251683584371,-0.08518270698952425,0.07624452967572914,-0.43999064165123164,-0.09972448792124053,-0.11768844361189157,-0.07088523742241094,0.6712047728293468,0.01303586919751939,-0.09357559807491873,-0.14111643426670806,NA,NA,NA,NA,NA,NA,NA,NA
cov_voted_n,0.06467471889283496,-0.112250352360232,0.1454422090879666,-0.03298725225571732,0.04507263395491611,0.18014570656087567,0.2514526176379888,0.17061351929385732,-0.014198233715399244,0.048422345434651286,0.1550941437424305,0.20112754748904113,-0.0421112784395569,NA,NA,NA,NA,NA,NA,NA
cov_days,-0.023687235237049,0.0570968115946077,-0.017015741623307264,0.023050590055372668,-0.05016383579572335,-0.04351092989426576,-0.02880777871888238,-0.010118747379124748,0.053796713365420364,-0.018116024559863164,-0.03158320902444754,-0.06347716458660893,0.040561058110591,-0.051395693481120615,NA,NA,NA,NA,NA,NA
cand_change_dem,0.037560801441528305,-0.0030436706109781687,-0.0111698929414293,-0.27610680564429435,-0.020622064666322746,-0.015438105042900696,-0.003597048709183924,-0.07013102994235264,-0.0277870025228703,-0.029019063757541187,-0.023596295994023006,0.011174477065863764,0.009703300602630147,0.004325869332157388,-0.04555700992578167,NA,NA,NA,NA,NA
cand_change_gop,0.03919510710509359,-0.06201869718592074,0.04475423423402197,-0.1971355999009794,0.035620989521011996,0.02594391310111667,0.04368808550025644,0.05752589522176728,-0.06839039337097749,0.014602928133444994,0.01340546135716374,0.02566335649552818,-0.07423080949279641,0.00786346018877436,0.013749301997894653,-0.14176922767479264,NA,NA,NA,NA
pref_switch,0.02812079195390725,-0.10191905398815648,0.13595090821974054,-0.06251118509569162,0.010515070516225336,0.047052454917621736,0.08926736702670374,0.16404137433229926,-0.06239746261198655,0.05094932708260245,0.05265431335935384,0.03265026486937906,-0.06309775756528019,0.01252321500668874,-0.014756035201190551,-0.1231394821015448,0.1697459488770829,NA,NA,NA
voted_early,-0.0287386342071967,-0.08237115821083474,0.02325217283252812,8.426132527620868e-4,0.05527974682027185,9.606335718992734e-4,0.03232105967601271,0.048534713954723356,-0.058042316936928934,0.047362220037327735,0.004607989125559984,0.0023617905062921453,-0.06808525328227895,-0.3490358596181538,0.04805253557183906,-0.020363393876496622,0.01821104842988765,0.004848531682949951,NA,NA
demog_age,-0.033613035169991264,0.017753398216972353,0.11585623990478924,0.10848594927713567,0.029043108084378925,-0.06369295541252915,0.22428643455245464,0.20081244522496222,0.0872086921168917,0.15147424999444065,0.21439202474617902,8.939017214732811e-4,-4.50949452369741e-4,0.13579613056114734,-0.014449389767039375,-0.07117329451690532,-0.03230519784025326,0.029305315099495337,0.04934055527456976,NA
